size,keepProbability,seed,complete_method,variant,solutionsFound,timeMs,status,instance_file
8,0.30,1000,CHOCO,DEFAULT,50,60,OK,instance_8x8_keep0.30_seed1000.json
8,0.30,1000,CHOCO,WDEG_MINE_FIRST,50,13,OK,instance_8x8_keep0.30_seed1000.json
8,0.30,1000,BACKTRACKING,FC_BOUNDS,50,3,OK,instance_8x8_keep0.30_seed1000.json
8,0.30,1001,CHOCO,DEFAULT,50,2,OK,instance_8x8_keep0.30_seed1001.json
8,0.30,1001,CHOCO,WDEG_MINE_FIRST,50,5,OK,instance_8x8_keep0.30_seed1001.json
8,0.30,1001,BACKTRACKING,FC_BOUNDS,50,2,OK,instance_8x8_keep0.30_seed1001.json
8,0.30,1002,CHOCO,DEFAULT,36,5,OK,instance_8x8_keep0.30_seed1002.json
8,0.30,1002,CHOCO,WDEG_MINE_FIRST,36,4,OK,instance_8x8_keep0.30_seed1002.json
8,0.30,1002,BACKTRACKING,FC_BOUNDS,36,14,OK,instance_8x8_keep0.30_seed1002.json
8,0.30,1003,CHOCO,DEFAULT,24,43,OK,instance_8x8_keep0.30_seed1003.json
8,0.30,1003,CHOCO,WDEG_MINE_FIRST,24,31,OK,instance_8x8_keep0.30_seed1003.json
8,0.30,1003,BACKTRACKING,FC_BOUNDS,24,30,OK,instance_8x8_keep0.30_seed1003.json
8,0.30,1004,CHOCO,DEFAULT,50,1,OK,instance_8x8_keep0.30_seed1004.json
8,0.30,1004,CHOCO,WDEG_MINE_FIRST,50,31,OK,instance_8x8_keep0.30_seed1004.json
8,0.30,1004,BACKTRACKING,FC_BOUNDS,50,1,OK,instance_8x8_keep0.30_seed1004.json
8,0.50,1000,CHOCO,DEFAULT,50,1,OK,instance_8x8_keep0.50_seed1000.json
8,0.50,1000,CHOCO,WDEG_MINE_FIRST,50,0,OK,instance_8x8_keep0.50_seed1000.json
8,0.50,1000,BACKTRACKING,FC_BOUNDS,50,2,OK,instance_8x8_keep0.50_seed1000.json
8,0.50,1001,CHOCO,DEFAULT,48,5,OK,instance_8x8_keep0.50_seed1001.json
8,0.50,1001,CHOCO,WDEG_MINE_FIRST,48,5,OK,instance_8x8_keep0.50_seed1001.json
8,0.50,1001,BACKTRACKING,FC_BOUNDS,48,7,OK,instance_8x8_keep0.50_seed1001.json
8,0.50,1002,CHOCO,DEFAULT,1,1,OK,instance_8x8_keep0.50_seed1002.json
8,0.50,1002,CHOCO,WDEG_MINE_FIRST,1,0,OK,instance_8x8_keep0.50_seed1002.json
8,0.50,1002,BACKTRACKING,FC_BOUNDS,1,9,OK,instance_8x8_keep0.50_seed1002.json
8,0.50,1003,CHOCO,DEFAULT,1,1,OK,instance_8x8_keep0.50_seed1003.json
8,0.50,1003,CHOCO,WDEG_MINE_FIRST,1,0,OK,instance_8x8_keep0.50_seed1003.json
8,0.50,1003,BACKTRACKING,FC_BOUNDS,1,2,OK,instance_8x8_keep0.50_seed1003.json
8,0.50,1004,CHOCO,DEFAULT,50,2,OK,instance_8x8_keep0.50_seed1004.json
8,0.50,1004,CHOCO,WDEG_MINE_FIRST,50,12,OK,instance_8x8_keep0.50_seed1004.json
8,0.50,1004,BACKTRACKING,FC_BOUNDS,50,488,OK,instance_8x8_keep0.50_seed1004.json
8,0.70,1000,CHOCO,DEFAULT,2,1,OK,instance_8x8_keep0.70_seed1000.json
8,0.70,1000,CHOCO,WDEG_MINE_FIRST,2,0,OK,instance_8x8_keep0.70_seed1000.json
8,0.70,1000,BACKTRACKING,FC_BOUNDS,2,10,OK,instance_8x8_keep0.70_seed1000.json
8,0.70,1001,CHOCO,DEFAULT,9,1,OK,instance_8x8_keep0.70_seed1001.json
8,0.70,1001,CHOCO,WDEG_MINE_FIRST,9,0,OK,instance_8x8_keep0.70_seed1001.json
8,0.70,1001,BACKTRACKING,FC_BOUNDS,9,2,OK,instance_8x8_keep0.70_seed1001.json
8,0.70,1002,CHOCO,DEFAULT,1,0,OK,instance_8x8_keep0.70_seed1002.json
8,0.70,1002,CHOCO,WDEG_MINE_FIRST,1,1,OK,instance_8x8_keep0.70_seed1002.json
8,0.70,1002,BACKTRACKING,FC_BOUNDS,1,3,OK,instance_8x8_keep0.70_seed1002.json
8,0.70,1003,CHOCO,DEFAULT,1,0,OK,instance_8x8_keep0.70_seed1003.json
8,0.70,1003,CHOCO,WDEG_MINE_FIRST,1,0,OK,instance_8x8_keep0.70_seed1003.json
