size,keepProbability,approach,solver,seed,success_rate,avg_cost,avg_time_ms,solutionsFound
8,0.3,Complete (BACKTRACKING),FC_BOUNDS,1002.0,1.0,0.0,10.0,42.0
8,0.3,Complete (CHOCO),DEFAULT,1002.0,1.0,0.0,22.2,42.0
8,0.3,Complete (CHOCO),WDEG_MINE_FIRST,1002.0,1.0,0.0,16.8,42.0
8,0.3,Incomplete (HC),HC,1002.0,0.14,1.24,238.0402660369873,
8,0.3,Incomplete (HC+restarts),HC+restarts,1002.0,0.9800000000000001,0.02,56.73165321350098,
8,0.3,Incomplete (SA),SA,1002.0,0.8,0.22000000000000003,164.20228004455566,
8,0.5,Complete (BACKTRACKING),FC_BOUNDS,1002.0,1.0,0.0,101.6,30.0
8,0.5,Complete (CHOCO),DEFAULT,1002.0,1.0,0.0,2.0,30.0
8,0.5,Complete (CHOCO),WDEG_MINE_FIRST,1002.0,1.0,0.0,3.4,30.0
8,0.5,Incomplete (HC),HC,1002.0,0.1,2.7,372.32086181640625,
8,0.5,Incomplete (HC+restarts),HC+restarts,1002.0,0.32,3.3200000000000003,431.34369373321533,
8,0.5,Incomplete (SA),SA,1002.0,0.34,1.0,579.7312164306641,
8,0.7,Complete (BACKTRACKING),FC_BOUNDS,1002.0,1.0,0.0,76.8,3.2
8,0.7,Complete (CHOCO),DEFAULT,1002.0,1.0,0.0,0.6,3.2
8,0.7,Complete (CHOCO),WDEG_MINE_FIRST,1002.0,1.0,0.0,0.2,3.2
8,0.7,Incomplete (HC),HC,1002.0,0.02,5.0,534.8597240447998,
8,0.7,Incomplete (HC+restarts),HC+restarts,1002.0,0.18,6.56,651.3977575302124,
8,0.7,Incomplete (SA),SA,1002.0,0.18000000000000002,2.02,926.0252523422241,
12,0.3,Complete (BACKTRACKING),FC_BOUNDS,1002.0,1.0,0.0,22.0,50.0
12,0.3,Complete (CHOCO),DEFAULT,1002.0,1.0,0.0,8.0,50.0
12,0.3,Complete (CHOCO),WDEG_MINE_FIRST,1002.0,0.2,0.0,1937.2,10.0
12,0.3,Incomplete (HC),HC,1002.0,0.18,1.8199999999999998,497.4614906311035,
12,0.3,Incomplete (HC+restarts),HC+restarts,1002.0,0.06000000000000001,6.1,747.2301721572876,
12,0.3,Incomplete (SA),SA,1002.0,0.4,0.82,835.8334589004517,
12,0.5,Complete (BACKTRACKING),FC_BOUNDS,1002.0,0.8,0.0,800.2,33.2
12,0.5,Complete (CHOCO),DEFAULT,1002.0,1.0,0.0,5.6,43.2
12,0.5,Complete (CHOCO),WDEG_MINE_FIRST,1002.0,0.8,0.0,462.6,33.2
12,0.5,Incomplete (HC),HC,1002.0,0.0,6.08,973.3825445175171,
12,0.5,Incomplete (HC+restarts),HC+restarts,1002.0,0.0,16.1,1255.763349533081,
12,0.5,Incomplete (SA),SA,1002.0,0.02,4.04,1815.4008865356445,
12,0.7,Complete (BACKTRACKING),FC_BOUNDS,1002.0,0.4,0.0,1416.2,2.6
12,0.7,Complete (CHOCO),DEFAULT,1002.0,1.0,0.0,1.0,5.4
12,0.7,Complete (CHOCO),WDEG_MINE_FIRST,1002.0,1.0,0.0,0.6,5.4
12,0.7,Incomplete (HC),HC,1002.0,0.0,12.34,1212.5094604492188,
12,0.7,Incomplete (HC+restarts),HC+restarts,1002.0,0.0,24.7,1568.2260370254517,
12,0.7,Incomplete (SA),SA,1002.0,0.0,8.48,2441.9984436035156,
