size,keepProbability,seed,solutionsFound,timeMs
8,0,30,1000,100,18
8,0,30,1001,100,4
8,0,30,1002,36,4
8,0,30,1003,24,15
8,0,30,1004,100,5
8,0,50,1000,100,2
8,0,50,1001,48,1
8,0,50,1002,1,0
8,0,50,1003,1,0
8,0,50,1004,100,24
8,0,70,1000,2,1
8,0,70,1001,9,0
8,0,70,1002,1,0
8,0,70,1003,1,0
8,0,70,1004,3,6
12,0,30,1000,100,2
12,0,30,1001,100,42
12,0,30,1002,100,1
12,0,30,1003,100,4
12,0,30,1004,100,3
12,0,50,1000,100,67
12,0,50,1001,100,9
12,0,50,1002,16,1
12,0,50,1003,100,3
12,0,50,1004,100,92
12,0,70,1000,2,1
